A Left,B Left,A Right,B Right,Diff Left,Diff Right
83.51,89.14,141.05,133.71,5.6299973,-7.3399963
83.69,84.79,142.3,126.35,1.0999985,-15.950005
78.66,90.17,133.75,134.38,11.5099945,0.6300049
83.69,90.22,142.3,134.46,6.529999,-7.8399963
79.23,90.12,134.72,134.3,10.889999,-0.41999817
78.66,89.82,133.75,134.73,11.159996,0.9799957
78.33,90.17,134.08,134.38,11.839996,0.30000305
79.52,90.17,134.31,134.38,10.650002,0.070007324
79.76,85.96,135.63,128.11,6.199997,-7.5200043
80.1,85.92,135.29,128.04,5.8199997,-7.25
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
123.53,107.89,15.64
116.38,0,116.38
83.11,0,83.11
81.62,0,81.62
82.12,0,82.12
112.82,101.63,11.189999999999998
111.45,102.22,9.230000000000004
111.67,100.7,10.969999999999999
92.15,0,92.15
94.02,74.16,19.86
93.63,73.79,19.83999999999999
93.58,73.75,19.83
92.96,110.39,-17.430000000000007
94.73,78.81,15.920000000000002
96.21,81.69,14.519999999999996
96.74,81.74,15.0
95.96,80.68,15.279999999999987
50.35,42.75,7.600000000000001
73.68,60.51,13.170000000000009
73.91,62.72,11.189999999999998
74.9,62.5,12.400000000000006
74.59,63.31,11.280000000000001
74.57,63.66,10.909999999999997
75.49,63.0,12.489999999999995
75.23,64.33,10.900000000000006
76.17,64.59,11.579999999999998
0,0,0
0,0,0
0,0,0
0,0,0
61.74,0,61.74
61.8,63.49,-1.6900000000000048
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,42.95,-42.95
0,0,0
0,0,0
0,57.77,-57.77
62.98,58.66,4.32
66.1,69.3,-3.200000000000003
67.37,67.84,-0.46999999999999886
0,75.69,-75.69
77.69,0,77.69
77.7,73.67,4.030000000000001
77.7,0,77.7
77.7,69.32,8.38000000000001
B,10,76.22,-0.20000000000000284
C,20,80.85,-4.829999999999998
D,30,0,76.02
B,10,75.97,-0.6299999999999955
C,20,81.41,-6.069999999999993
D,30,0,75.34
B,10,75.97,-0.6299999999999955
C,10,78.61,-3.269999999999996
B,10,75.97,-0.6299999999999955
C,10,77.48,-2.1400000000000006
B,200,71.31,4.730000000000004
C,200,67.49,8.550000000000011
B,400,66.97,8.710000000000008
B,200,71.99,3.3599999999999994
C,200,67.16,8.189999999999998
B,200,72.0,3.3499999999999943
C,200,68.21,7.140000000000001
B,200,70.33,5.019999999999996
C,200,66.64,8.709999999999994
B,200,70.67,4.349999999999994
C,200,66.31,8.709999999999994
B,10,79.42,-1.4000000000000057
C,10,81.71,-3.6899999999999977
B,10,77.48,-0.46000000000000796
C,10,79.68,-2.660000000000011
B,10,77.76,-0.7400000000000091
C,10,79.76,-2.740000000000009
B,10,79.46,-1.0999999999999943
C,10,81.39,-3.030000000000001
B,10,79.5,-1.1400000000000006
C,10,81.47,-3.1099999999999994
B,10,79.51,-0.8100000000000023
C,10,81.06,-2.3599999999999994
B,10,79.87,-1.1700000000000017
B,10,78.85,-0.14999999999999147
C,10,81.15,-2.450000000000003
B,10,79.51,-0.46999999999999886
C,10,81.56,-2.519999999999996
B,10,79.99,-0.9299999999999926
C,10,82.15,-3.0900000000000034
B,10,79.66,-0.2599999999999909
B,200,75.72,2.0600000000000023
C,200,0,77.78
B,200,76.36,3.3400000000000034
C,200,0,79.7
B,200,75.34,3.6899999999999977
C,200,71.99,7.040000000000006
B,10,58.2,-0.1600000000000037
B,200,55.35,2.1999999999999957
C,200,52.9,4.649999999999999
B,200,80.4,2.3900000000000006
C,200,76.59,6.200000000000003
B,200,76.43,4.239999999999995
C,200,72.86,7.810000000000002
B,200,76.76,2.9399999999999977
B,200,75.77,3.9200000000000017
C,200,72.85,6.840000000000003
B,200,76.43,4.239999999999995
C,200,72.53,8.14
B,10,79.54,-0.4900000000000091
C,10,81.38,-2.3299999999999983
B,10,79.12,-0.4100000000000108
C,10,81.29,-2.5800000000000125
B,10,80.14,-1.0999999999999943
B,10,80.14,-1.0999999999999943
C,10,82.15,-3.1099999999999994
B,10,80.18,-0.8100000000000023
C,10,82.15,-2.780000000000001
