id,group_tag,print_tag,image_tag1,image_tag2,image_tag3,humidity,temperature,print_speed,layer_height,comments,pressure,width
42,Session_20250416-105629_SSE,20250416-105629_p1,c1_20250416-105629.jpg,c2_20250416-105629.jpg,25.6,19.4,100.0,15.0,0.0,,0.0,0.0
43,Session_20250416-105629_SSE,20250416-105631_p2,c1_20250416-105631.jpg,c2_20250416-105631.jpg,25.6,19.3,100.0,15.0,0.0,,0.0,0.0
44,Session_20250416-105629_SSE,20250416-105634_p3,c1_20250416-105634.jpg,c2_20250416-105634.jpg,25.6,19.4,100.0,15.0,0.0,,0.0,0.0
45,Session_20250416-105629_SSE,20250416-105636_p4,c1_20250416-105636.jpg,c2_20250416-105636.jpg,25.6,19.4,100.0,15.0,0.0,,0.0,0.0
46,Session_20250416-105629_SSE,20250416-105638_p5,c1_20250416-105638.jpg,c2_20250416-105638.jpg,25.5,19.4,100.0,15.0,0.0,,0.0,0.0
47,Session_20250416-105629_SSE,20250416-105641_p6,c1_20250416-105641.jpg,c2_20250416-105641.jpg,25.6,19.4,100.0,15.0,0.0,,0.0,0.0
48,Session_20250416-105629_SSE,20250416-105643_p7,c1_20250416-105643.jpg,c2_20250416-105643.jpg,25.6,19.4,100.0,15.0,0.0,,0.0,0.0
49,Session_20250416-105629_SSE,20250416-105645_p8,c1_20250416-105645.jpg,c2_20250416-105645.jpg,25.6,19.4,100.0,15.0,0.0,,0.0,0.0
50,Session_20250416-105629_SSE,20250416-105647_p9,c1_20250416-105647.jpg,c2_20250416-105647.jpg,25.6,19.4,100.0,15.0,0.0,,0.0,0.0
51,Session_20250416-105629_SSE,20250416-105650_p10,c1_20250416-105650.jpg,c2_20250416-105650.jpg,25.6,19.4,100.0,15.0,0.0,,0.0,0.0
52,Session_20250416-105629_SSE,20250416-105652_p11,c1_20250416-105652.jpg,c2_20250416-105652.jpg,25.6,19.4,100.0,15.0,0.0,,0.0,0.0
53,Session_20250416-105629_SSE,20250416-105654_p12,c1_20250416-105654.jpg,c2_20250416-105654.jpg,25.6,19.4,100.0,15.0,0.0,,0.0,0.0
