x,y,distance,z,current_height,layer_height,print_speed,timestamp
99.99993896,497.4093628,2.590637207,-2.00012207,4,4,8,1763418045
99.99993896,480.9600525,19.03994751,-2.000061035,4,4,8,1763418048
100,464.0639648,35.93603516,-2.000061035,5,4,8,1763418050
99.99993896,438.3999634,61.60003662,-2.000061035,4,4,8,1763418053
100,413.1200867,86.87991333,-2.000061035,4,4,8,1763418056
99.99990845,396.3520508,103.6479492,-2.00012207,4,4,8,1763418058
99.99996948,371.519989,128.480011,-2.000061035,4,4,8,1763418061
99.99993896,354.624054,145.375946,-2.000061035,4,4,8,1763418063
100.000061,337.8560791,162.1439209,-2.000061035,4,4,8,1763418065
100,312.4479675,187.5520325,-2.000061035,4,4,8,1763418069
100,295.5519714,204.4480286,-2.000061035,5,4,8,1763418071
99.99996948,278.5920715,221.4079285,-2,5,4,8,1763418073
100,253.4400024,246.5599976,-2.00012207,4,4,8,1763418076
99.99996948,236.5440063,263.4559937,-2.00012207,5,4,8,1763418078
100,211.3279877,288.6720123,-2.00012207,4,4,8,1763418081
99.99996948,194.6240234,305.3759766,-2.00012207,4,4,8,1763418083
99.99996948,177.7279816,322.2720184,-2.000183105,4,4,8,1763418085
99.99996948,161.0240021,338.9759979,-2.00012207,4,4,8,1763418088
100.0000305,135.8080444,364.1919556,-2.000061035,4,4,8,1763418091
99.99993896,119.0400314,380.9599686,-2.000061035,4,4,8,1763418093
100,101.9519806,398.0480194,-2.000061035,4,4,8,1763418095
100.0000305,85.31206512,414.6879349,-2.000061035,4,4,8,1763418097
100.0000305,68.41604614,431.5839539,-2.000061035,4,4,8,1763418099
100.0000305,51.0079689,448.9920311,-2.00012207,4,4,8,1763418101
100,33.92000198,466.079998,-2.000061035,4,4,8,1763418103
100,8.511989594,491.4880104,-2.00012207,4,4,8,1763418107
100.0000305,-8.06397438,508.0639744,-2.000061035,4,4,8,1763418109
100.0000305,-24.96001053,524.9600105,-2.000183105,4,4,8,1763418111
99.99993896,-41.91999817,541.9199982,-2.000183105,4,4,8,1763418113
100.0000305,-67.13599396,567.135994,-2.000183105,4,4,8,1763418116
100,-84.09603119,584.0960312,-2.00012207,4,4,8,1763418118
100,-101.1200104,601.1200104,-2.00012207,4,4,8,1763418120
100.0000305,-118.0800095,618.0800095,-2.00012207,4,4,8,1763418122
100,-134.8479919,634.8479919,-2.00012207,4,4,8,1763418125
99.99996948,-160.2559967,660.2559967,-2.00012207,4,4,8,1763418128
99.99996948,-177.1520691,677.1520691,-2.00012207,4,4,8,1763418130
99.99993896,-193.9840393,693.9840393,-2.00012207,4,4,8,1763418132
99.99996948,-211.0720367,711.0720367,-2.000061035,4,4,8,1763418134
100.0000305,-228.2881012,728.2881012,-2.00012207,4,4,8,1763418136
100,-244.9919739,744.9919739,-2.000061035,5,4,8,1763418138
99.99996948,-262.1439819,762.1439819,-2.000061035,4,4,8,1763418140
100.0000305,-278.7840576,778.7840576,-2.000061035,5,4,8,1763418143
99.99996948,-295.8080139,795.8080139,-2,4,4,8,1763418145
100.0000305,-312.447998,812.447998,-2.000061035,4,4,8,1763418147
99.99996948,-329.2799683,829.2799683,-2.000183105,4,4,8,1763418149
99.99993896,-345.9200134,845.9200134,-2,4,4,8,1763418151
99.99996948,-362.6879578,862.6879578,-2.000061035,4,4,8,1763418153
99.99990845,-379.776001,879.776001,-2.00012207,4,4,8,1763418155
99.99996948,-396.7360229,896.7360229,-2.000061035,4,4,8,1763418157
99.99996948,-413.3760376,913.3760376,-2,4,4,8,1763418159
100.0000305,-430.1439819,930.1439819,-2.000061035,4,4,8,1763418161
99.99993896,-447.2320557,947.2320557,-2,4,4,8,1763418164
99.99993896,-464.2559814,964.2559814,-2.000061035,4,4,8,1763418166
99.99993896,-481.4079895,981.4079895,-2.000183105,4,4,8,1763418168
99.99993896,-497.6487732,997.6487732,-2.000061035,4,4,8,1763418170
