x,y,distance,z,current_height,layer_height,print_speed,timestamp
99.99987793,499.9998779,0.000,-10.50012207,4,4,5,1763414408
99.99990845,493.8999634,6.100,-10.50006104,4,4,5,1763414410
99.99990845,483.4199829,16.580,-10.50006104,3,4,5,1763414412
99.99996948,472.980011,27.020,-10.50006104,1,4,5,1763414414
99.99996948,462.6999512,37.300,-10.50012207,0,4,5,1763414416
99.99987793,452.4999084,47.500,-10.50012207,1,4,5,1763414418
99.99990845,442.2199707,57.780,-10.50006104,1,4,5,1763414420
99.99993896,431.9799805,68.020,-10.50018311,0,4,5,1763414422
99.99993896,421.4599304,78.540,-10.50012207,0,4,5,1763414425
99.99993896,411.0599976,88.940,-10.50012207,0,4,5,1763414427
99.99993896,400.7000122,99.300,-10.50012207,1,4,5,1763414429
99.99987793,390.3399658,109.660,-10.50024414,0,4,5,1763414431
99.99993896,379.9799805,120.020,-10.50006104,1,4,5,1763414433
99.99990845,369.6599121,130.340,-10.50018311,1,4,5,1763414435
99.99987793,359.3799133,140.620,-10.50018311,1,4,5,1763414437
99.99984741,348.9399109,151.060,-10.50012207,1,4,5,1763414439
99.99984741,338.5399475,161.460,-10.50012207,2,4,5,1763414441
99.99993896,328.0999756,171.900,-10.50006104,2,4,5,1763414443
99.99987793,317.8199463,182.180,-10.5,2,4,5,1763414445
99.99996948,307.4200134,192.580,-10.50012207,2,4,5,1763414447
99.99996948,297.1799316,202.820,-10.50006104,2,4,5,1763414449
100,286.9399414,213.060,-10.50012207,2,4,5,1763414451
99.99987793,276.7399902,223.260,-10.50012207,2,4,5,1763414453
99.99993896,266.4199829,233.580,-10.50018311,3,4,5,1763414456
100,255.9799957,244.020,-10.50012207,3,4,5,1763414458
99.99990845,245.5399628,254.460,-10.50012207,3,4,5,1763414460
99.99990845,235.299942,264.700,-10.50006104,3,4,5,1763414462
99.99990845,225.0599518,274.940,-10.50012207,3,4,5,1763414464
99.99990845,214.7799377,285.220,-10.50024414,4,4,5,1763414466
99.99993896,204.4200134,295.580,-10.5,4,4,5,1763414468
99.99996948,193.9799652,306.020,-10.5,4,4,5,1763414470
99.99996948,183.6999664,316.300,-10.50006104,4,4,5,1763414472
99.99993896,173.2599487,326.740,-10.50012207,5,4,5,1763414474
99.99993896,162.9799652,337.020,-10.50012207,8,4,5,1763414476
99.99996948,152.5399628,347.460,-10.50006104,9,4,5,1763414478
99.99996948,142.1799469,357.820,-10.50012207,9,4,5,1763414480
99.99996948,132.0199585,367.980,-10.50012207,9,4,5,1763414482
100,121.5000229,378.500,-10.50012207,9,4,5,1763414485
100,111.0600052,388.940,-10.50012207,9,4,5,1763414487
99.99996948,100.7399673,399.260,-10.50018311,9,4,5,1763414489
99.99996948,90.29999542,409.700,-10.5,10,4,5,1763414491
99.99996948,79.89997101,420.100,-10.50012207,10,4,5,1763414493
