x,y,distance,z,current_height_correction,layer_height,print_speed,timestamp
99.99990845,499.9999695,3.05E-05,-38.5,3,4,8,1762993963
99.99987793,464.7039795,35.29602051,-38.50006104,5,4,8,1762993968
99.99978638,423.4240112,76.57598877,-38.5,4,4,8,1762993973
99.99996948,406.3999939,93.6000061,-38.5,4,4,8,1762993975
99.99993896,389.6319885,110.3680115,-38.5,4,4,8,1762993977
99.99993896,372.5439758,127.4560242,-38.5,5,4,8,1762993980
99.99987793,355.6479492,144.3520508,-38.5,5,4,8,1762993982
99.99990845,338.6239929,161.3760071,-38.5,5,4,8,1762993984
99.99990845,321.5360107,178.4639893,-38.50006104,5,4,8,1762993986
99.99990845,280.1920776,219.8079224,-38.50006104,4,4,8,1762993991
99.99993896,263.2959595,236.7040405,-38.50006104,4,4,8,1762993993
99.99990845,246.3359528,253.6640472,-38.50006104,4,4,8,1762993995
99.99993896,229.3760223,270.6239777,-38.50006104,4,4,8,1762993998
99.99990845,212.0959778,287.9040222,-38.49993896,5,4,8,1762994000
99.99993896,195.3279877,304.6720123,-38.49993896,5,4,8,1762994002
99.99987793,178.2399597,321.7600403,-38.5,5,4,8,1762994004
99.99990845,161.0880127,338.9119873,-38.5,5,4,8,1762994006
99.99990845,119.7440338,380.2559662,-38.50006104,3,4,8,1762994011
99.99996948,103.0400696,396.9599304,-38.5,4,4,8,1762994013
99.99996948,86.46408081,413.5359192,-38.5,4,4,8,1762994015
99.99996948,69.69599152,430.3040085,-38.50006104,3,4,8,1762994017
100,52.80002594,447.1999741,-38.50006104,4,4,8,1762994020
99.99990845,35.96801758,464.0319824,-38.50012207,3,4,8,1762994022
99.99990845,18.88002014,481.1199799,-38.50006104,4,4,8,1762994024
99.99990845,2.3679986,497.6320014,-38.50012207,4,4,8,1762994026
99.99993896,-14.84795856,514.8479586,-38.5,4,4,8,1762994028
99.99993896,-31.67996407,531.6799641,-38.49993896,5,4,8,1762994030
99.99993896,-48.51193619,548.5119362,-38.5,5,4,8,1762994032
99.99996948,-65.4719162,565.4719162,-38.50006104,5,4,8,1762994034
99.99990845,-82.30394745,582.3039474,-38.50006104,5,4,8,1762994036
100,-123.7759552,623.7759552,-38.5,3,4,8,1762994042
99.99990845,-140.799881,640.799881,-38.50006104,3,4,8,1762994044
100.0000305,-157.5039825,657.5039825,-38.5,4,4,8,1762994046
99.99990845,-174.3999176,674.3999176,-38.50006104,3,4,8,1762994048
99.99996948,-191.167984,691.167984,-38.50006104,4,4,8,1762994050
99.99990845,-208.1919403,708.1919403,-38.50006104,3,4,8,1762994052
100,-225.023941,725.023941,-38.5,3,4,8,1762994054
99.99996948,-242.0479431,742.0479431,-38.5,4,4,8,1762994056
99.99996948,-258.9438477,758.9438477,-38.49993896,4,4,8,1762994059
99.99990845,-275.711853,775.711853,-38.5,4,4,8,1762994061
99.99993896,-292.7359314,792.7359314,-38.5,4,4,8,1762994063
99.99996948,-309.3759155,809.3759155,-38.50006104,4,4,8,1762994065
100.0000305,-326.3999023,826.3999023,-38.5,3,4,8,1762994067
99.99993896,-343.487854,843.487854,-38.50006104,3,4,8,1762994069
100,-360.5758667,860.5758667,-38.50006104,4,4,8,1762994071
100,-377.1519165,877.1519165,-38.50006104,4,4,8,1762994073
99.99996948,-393.9838867,893.9838867,-38.5,4,4,8,1762994075
100.0000916,-410.6239319,910.6239319,-38.50006104,4,4,8,1762994077
99.99990845,-427.3918762,927.3918762,-38.5,4,4,8,1762994080
99.99996948,-444.2238159,944.2238159,-38.50006104,3,4,8,1762994082
100,-460.7998657,960.7998657,-38.5,4,4,8,1762994084
99.99993896,-477.4399719,977.4399719,-38.5,4,4,8,1762994086
99.99990845,-494.2070313,994.2070313,-38.5,3,4,8,1762994088
