x,y,distance,z,current_height,layer_height,print_speed,timestamp
99.99996948,499.9999084,9.15527E-05,-3.000061035,4,4,8,1763408532
99.99993896,489.7278748,10.27212524,-3,4,4,8,1763408534
99.99996948,473.0238953,26.97610474,-3.000061035,4,4,8,1763408537
99.99987793,455.8079224,44.19207764,-3.00012207,5,4,8,1763408539
99.99996948,439.1678772,60.8321228,-3,5,4,8,1763408541
99.99987793,422.2720032,77.72799683,-3,5,4,8,1763408543
99.99996948,405.4399109,94.56008911,-3,5,4,8,1763408545
99.99996948,364.6079407,135.3920593,-3.000061035,4,4,8,1763408550
99.99993896,347.7119141,152.2880859,-3.000061035,4,4,8,1763408552
99.99990845,330.9439087,169.0560913,-3.000061035,4,4,8,1763408554
99.99990845,314.111969,185.888031,-3.00012207,5,4,8,1763408556
99.99993896,297.151947,202.848053,-3.00012207,5,4,8,1763408559
99.99996948,280.1919861,219.8080139,-3,5,4,8,1763408561
99.99993896,238.5279694,261.4720306,-3,4,4,8,1763408566
99.99993896,221.6959839,278.3040161,-3,4,4,8,1763408568
99.99993896,204.927948,295.072052,-3.00012207,4,4,8,1763408570
99.99993896,188.2879333,311.7120667,-3.000061035,4,4,8,1763408572
99.99996948,171.6479645,328.3520355,-3.000061035,4,4,8,1763408574
99.99996948,154.559967,345.440033,-3.000061035,5,4,8,1763408576
99.99993896,137.6639862,362.3360138,-3.000061035,5,4,8,1763408578
99.99996948,120.8960037,379.1039963,-3.000061035,5,4,8,1763408581
99.99996948,103.8719788,396.1280212,-3.000061035,5,4,8,1763408583
99.99993896,86.9119873,413.0880127,-3.00012207,5,4,8,1763408585
99.99993896,70.07996368,429.9200363,-3.000061035,6,4,8,1763408587
100,53.11997986,446.8800201,-3.00012207,5,4,8,1763408589
99.99993896,11.45597553,488.5440245,-3.00012207,3,4,8,1763408594
100.000061,-5.183995247,505.1839952,-3,3,4,8,1763408596
100,-22.0799675,522.0799675,-3.000061035,4,4,8,1763408598
100,-39.16798401,539.167984,-3.000061035,4,4,8,1763408601
99.99996948,-56.06401062,556.0640106,-3,4,4,8,1763408603
100.0000305,-72.95999146,572.9599915,-3,4,4,8,1763408605
100,-89.79193878,589.7919388,-3.000061035,4,4,8,1763408607
100,-106.4319305,606.4319305,-3.000061035,4,4,8,1763408609
100.0000305,-123.391983,623.391983,-3.000061035,4,4,8,1763408611
99.99996948,-140.0959625,640.0959625,-3.000061035,4,4,8,1763408613
100,-156.9919891,656.9919891,-3.000061035,5,4,8,1763408615
100,-174.2079468,674.2079468,-3.000061035,5,4,8,1763408617
100,-191.6159515,691.6159515,-3,4,4,8,1763408620
100.0000305,-208.5119934,708.5119934,-3,5,4,8,1763408622
99.99993896,-225.5359497,725.5359497,-3.000061035,5,4,8,1763408624
99.99996948,-242.3039856,742.3039856,-2.999938965,5,4,8,1763408626
100,-259.0079956,759.0079956,-3,5,4,8,1763408628
100,-276.4798584,776.4798584,-3,5,4,8,1763408630
100.0000305,-293.3119202,793.3119202,-3.00012207,5,4,8,1763408632
100,-309.8878784,809.8878784,-3.000061035,5,4,8,1763408634
100.0000305,-326.5279846,826.5279846,-3,5,4,8,1763408636
100.0000305,-343.2319031,843.2319031,-3,5,4,8,1763408639
100,-360.2559509,860.2559509,-3.000061035,5,4,8,1763408641
99.99990845,-377.0238647,877.0238647,-3.000061035,5,4,8,1763408643
100,-393.7919312,893.7919312,-3.000061035,5,4,8,1763408645
100.0000305,-410.7519836,910.7519836,-3.000061035,5,4,8,1763408647
100.0000305,-427.8398743,927.8398743,-3.000061035,5,4,8,1763408649
99.99996948,-445.0559082,945.0559082,-3,5,4,8,1763408651
99.99996948,-461.8879395,961.8879395,-3,5,4,8,1763408653
99.99996948,-478.6559448,978.6559448,-3,5,4,8,1763408655
100,-495.2745667,995.2745667,-2.999938965,5,4,8,1763408658
