x,y,distance,z,current_height,layer_height,print_speed,timestamp
100,499.9999695,3.05176E-05,-3.000061035,4,4,5,1763427937
100,488.3800049,11.61999512,-3.00012207,3,4,5,1763427940
99.99993896,457.3399963,42.66000366,-3.000061035,4,4,5,1763427947
100.0000305,446.8999939,53.1000061,-3.000061035,4,4,5,1763427949
99.99996948,436.2999878,63.70001221,-3.00012207,4,4,5,1763427951
99.99996948,425.6599731,74.34002686,-3.00012207,4,4,5,1763427953
100,415.0599976,84.94000244,-3.000061035,5,4,5,1763427955
100.0000305,399.2600403,100.7399597,-3.00012207,4,4,5,1763427958
99.99993896,383.5400085,116.4599915,-3.00012207,4,4,5,1763427961
100,372.9400024,127.0599976,-3.00012207,4,4,5,1763427963
99.99993896,362.460022,137.539978,-3.00012207,4,4,5,1763427966
100.0000305,346.5800171,153.4199829,-3.00012207,4,4,5,1763427969
99.99996948,336.0599976,163.9400024,-3.00012207,4,4,5,1763427971
99.99993896,320.0199585,179.9800415,-3.00012207,3,4,5,1763427974
100,304.1400146,195.8599854,-3.00012207,4,4,5,1763427977
99.99996948,293.6999817,206.3000183,-3.00012207,4,4,5,1763427979
100,283.2200012,216.7799988,-3.00012207,4,4,5,1763427981
100.0000305,272.6599731,227.3400269,-3.000061035,4,4,5,1763427984
99.99996948,262.0600586,237.9399414,-3.000061035,5,4,5,1763427986
100.0000305,246.220047,253.779953,-3.00012207,4,4,5,1763427989
99.99996948,235.7799988,264.2200012,-3.00012207,4,4,5,1763427991
100,225.3000641,274.6999359,-3.00012207,5,4,5,1763427993
100.0000305,214.8200531,285.1799469,-3.00012207,4,4,5,1763427995
100,204.2999878,295.7000122,-3.000061035,4,4,5,1763427997
99.99996948,188.3800049,311.6199951,-3.00012207,4,4,5,1763428000
100,162.2600403,337.7399597,-3.000061035,6,4,5,1763428006
99.99996948,136.4600372,363.5399628,-3.00012207,4,4,5,1763428011
99.99996948,-166.1000214,666.1000214,-3.000061035,4,4,5,1763428071
100,-176.5800171,676.5800171,-3,4,4,5,1763428073
100,-187.3000183,687.3000183,-3.00012207,4,4,5,1763428076
100,-197.9000549,697.9000549,-3.00012207,4,4,5,1763428078
100,-208.3800201,708.3800201,-3.000061035,4,4,5,1763428080
99.99993896,-218.8599701,718.8599701,-3.000061035,4,4,5,1763428082
100,-229.4199829,729.4199829,-3.000061035,4,4,5,1763428084
100.000061,-240.0199738,740.0199738,-3.000061035,4,4,5,1763428086
100.000061,-255.7000122,755.7000122,-3.000061035,4,4,5,1763428089
99.99996948,-266.1000366,766.1000366,-3.00012207,4,4,5,1763428091
100.0000305,-276.5399475,776.5399475,-3.00012207,4,4,5,1763428093
100,-292.5399475,792.5399475,-3,6,4,5,1763428097
100,-323.2200012,823.2200012,-3.000061035,4,4,5,1763428103
100,-339.1400146,839.1400146,-3.000061035,4,4,5,1763428106
100,-349.6599731,849.6599731,-3.000061035,4,4,5,1763428108
99.99996948,-360.0199585,860.0199585,-3.00012207,4,4,5,1763428110
99.99990845,-370.5400085,870.5400085,-3.00012207,4,4,5,1763428112
100,-381.2199402,881.2199402,-3.000061035,4,4,5,1763428114
99.99996948,-391.7000427,891.7000427,-3.00012207,4,4,5,1763428116
100,-402.4599915,902.4599915,-3.000061035,4,4,5,1763428119
99.99993896,-413.019989,913.019989,-3,4,4,5,1763428121
100.0000305,-423.7399902,923.7399902,-3.000061035,4,4,5,1763428123
99.99996948,-434.3399658,934.3399658,-3,4,4,5,1763428125
99.99996948,-444.980011,944.980011,-3.000061035,4,4,5,1763428127
100,-455.6199646,955.6199646,-3.000061035,4,4,5,1763428129
100,-472.1799316,972.1799316,-3.000061035,4,4,5,1763428133
99.99996948,-482.980072,982.980072,-3,4,4,5,1763428135
100,-493.3800659,993.3800659,-3.000061035,4,4,5,1763428137
