x,y,distance,z,current_height_no_correction,layer_height,print_speed,timestamp
99.99993896,500.0000305,-3.05176E-05,-43.00006104,0,4,8,1762995500
99.99987793,490.5599976,9.440002441,-43.00012207,0,4,8,1762995502
99.99990845,474.2399597,25.76004028,-43.00006104,0,4,8,1762995505
99.99987793,457.7919922,42.20800781,-43.00006104,0,4,8,1762995507
99.99990845,441.5360107,58.46398926,-43.00006104,0,4,8,1762995509
99.99993896,424.960022,75.03997803,-43.00012207,0,4,8,1762995511
99.99987793,408.3200073,91.67999268,-43.00006104,0,4,8,1762995513
99.99984741,391.4880066,108.5119934,-43,0,4,8,1762995515
99.99993896,374.8480225,125.1519775,-43,0,4,8,1762995517
99.99990845,358.3999939,141.6000061,-43.00006104,0,4,8,1762995519
100,341.8239746,158.1760254,-43.00006104,0,4,8,1762995521
99.99993896,325.1840515,174.8159485,-43,0,4,8,1762995523
99.99996948,308.6719971,191.3280029,-43.00012207,1,4,8,1762995525
99.99993896,292.0959778,207.9040222,-43.00006104,1,4,8,1762995527
99.99987793,275.6480103,224.3519897,-43.00006104,1,4,8,1762995529
99.99987793,258.9440613,241.0559387,-43.00006104,1,4,8,1762995531
99.99996948,242.3680267,257.6319733,-43.00012207,2,4,8,1762995534
99.99993896,225.7280121,274.2719879,-43,2,4,8,1762995536
99.99996948,209.2800293,290.7199707,-43,2,4,8,1762995538
99.99990845,192.7040405,307.2959595,-43.00012207,2,4,8,1762995540
99.99990845,176.128006,323.871994,-43,2,4,8,1762995542
99.99990845,159.5520477,340.4479523,-42.99993896,3,4,8,1762995544
99.99990845,142.8480225,357.1519775,-43.00012207,3,4,8,1762995546
99.99993896,126.2719879,373.7280121,-43,3,4,8,1762995548
99.99990845,109.5680542,390.4319458,-43.00006104,3,4,8,1762995550
99.99993896,92.86400604,407.135994,-43,3,4,8,1762995552
99.99990845,76.60804749,423.3919525,-43,3,4,8,1762995554
99.99990845,59.84000778,440.1599922,-43,3,4,8,1762995556
100,43.13602448,456.8639755,-43,4,4,8,1762995558
99.99996948,26.43206406,473.5679359,-43.00006104,3,4,8,1762995561
99.99990845,9.728024483,490.2719755,-43.00012207,4,4,8,1762995563
99.99996948,-6.655935287,506.6559353,-43,4,4,8,1762995565
99.99996948,-23.48794746,523.4879475,-43,4,4,8,1762995567
99.99996948,-40.06398392,540.0639839,-43.00012207,4,4,8,1762995569
99.99996948,-56.57597351,556.5759735,-43,4,4,8,1762995571
99.99996948,-73.15192413,573.1519241,-43,4,4,8,1762995573
99.99993896,-89.79190063,589.7919006,-43,5,4,8,1762995575
100.0000305,-106.4319534,606.4319534,-43.00006104,5,4,8,1762995577
99.99996948,-123.0079117,623.0079117,-43.00006104,5,4,8,1762995579
99.99996948,-139.5838928,639.5838928,-43.00006104,5,4,8,1762995581
99.99996948,-156.095932,656.095932,-43.00006104,5,4,8,1762995583
99.99996948,-172.6719513,672.6719513,-42.99993896,5,4,8,1762995585
99.99993896,-189.4399414,689.4399414,-43,5,4,8,1762995588
99.99990845,-206.0158997,706.0158997,-43.00006104,6,4,8,1762995590
99.99996948,-222.5918732,722.5918732,-43.00006104,5,4,8,1762995592
100,-238.9759674,738.9759674,-42.99993896,5,4,8,1762995594
99.99996948,-255.4238586,755.4238586,-43,5,4,8,1762995596
100.0000305,-271.9359741,771.9359741,-43,5,4,8,1762995598
100,-288.3199463,788.3199463,-43.00006104,5,4,8,1762995600
100,-304.9599915,804.9599915,-43.00006104,6,4,8,1762995602
99.99993896,-321.7278748,821.7278748,-43,5,4,8,1762995604
99.99993896,-338.0478821,838.0478821,-43,6,4,8,1762995606
99.99993896,-354.8159485,854.8159485,-43,6,4,8,1762995608
99.99996948,-371.3278198,871.3278198,-43,6,4,8,1762995610
99.99996948,-387.9039001,887.9039001,-43,5,4,8,1762995612
99.99996948,-404.6079712,904.6079712,-43,5,4,8,1762995614
100,-421.3119202,921.3119202,-43,5,4,8,1762995616
99.99993896,-437.7599182,937.7599182,-43,6,4,8,1762995619
99.99990845,-454.5278931,954.5278931,-43,5,4,8,1762995621
99.99993896,-471.1039429,971.1039429,-43,5,4,8,1762995623
99.99996948,-487.6159973,987.6159973,-43,5,4,8,1762995625
100,-499.9431458,999.9431458,-43,5,4,8,1762995627
