x,y,current_height
-60.00009155,6.528822422,4
-60.00003052,26.99998283,4
-60.00009155,47.31995773,4
-60.00003052,67.71994019,4
-60,88.28001404,3
-60,108.5999527,3
-60.00006104,129,3
-60.00006104,149.5598907,3
-60,169.8799744,3
-60.00012207,190.3598785,3
-60,211,2
-60.00003052,231.47995,2
-59.99996948,252.0399628,2
-60.00006104,272.52005,1
-59.99996948,293.0799561,1
-60,313.6399841,1
-60.00006104,334.039978,1
-59.99996948,354.7599792,1
-59.99996948,375.3200073,0
-60.00003052,395.6399841,0
-60.00003052,416.1999512,0
-60,436.519928,0
-60.00003052,457.1599426,0
-59.99996948,477.3999634,0
-60.00003052,497.3453064,0
-57.81887817,500.0000305,0
-38.43994141,499.9999695,0
-17.88000488,500,0
2.759979248,500.000061,0
23.15997314,499.999939,0
43.80004883,500,0
64.2800293,500.0000305,0
84.43994141,500,0
99.92306519,500,0
100,491.5601196,0
100.0000305,471.1600037,0
100.0000305,451.000061,0
99.99996948,430.4399109,0
99.99996948,409.7200012,0
100.0000305,389.4800415,0
100,368.8399658,0
100.0000305,348.2800293,0
100.0000305,327.8800659,0
100.0000305,307.3200989,0
100.000061,286.9200439,0
100,266.3599854,1
100,245.8000031,1
99.99996948,225.3200073,1
100,204.760025,1
100,184.3600006,1
100,163.7200012,2
100.0000305,143.2400208,2
100,123.0799637,2
99.99996948,102.5999832,2
100.000061,81.9600296,2
100,61.39998627,2
100,41.00001526,2
100,20.44002151,2
99.99993896,0.039988518,2
99.99993896,-20.36001015,2
99.99993896,-41.15998077,2
100,-61.64001465,3
99.99993896,-81.88002777,3
100.0000305,-102.519989,3
99.99996948,-123,3
99.99993896,-143.6400299,3
99.99996948,-164.280014,3
99.99996948,-184.7600708,3
100,-205.1600037,3
99.99996948,-225.559967,3
99.99990845,-245.9599762,3
99.99993896,-266.6000061,3
99.99996948,-286.9200134,3
99.99993896,-307.5600281,3
99.99996948,-327.9599915,3
99.99996948,-348.6000366,3
99.99993896,-368.9200439,3
100,-389.480072,3
99.99990845,-409.7999878,3
99.99993896,-430.2800598,3
99.99996948,-450.9200745,3
99.99993896,-471.3199768,3
99.99990845,-491.7999268,3
99.87921143,-499.999939,3
84.03997803,-499.999939,3
63.4800415,-500.000061,2
43.15994263,-500,4
22.51986694,-500,4
2.03994751,-500.0000305,4
-18.36010742,-499.9999695,4
-38.76004028,-499.999939,5
-58.19915771,-500.0000305,6
-60,-496.8227844,5
-60.00006104,-476.8399353,5
-60.00006104,-456.2799988,5
-60.00012207,-436.0400391,5
-60.00012207,-415.4801331,5
-60,-394.7600403,5
-60.00006104,-374.519989,5
-60.00003052,-353.7999573,5
-60,-333.480011,5
-60.00012207,-313.0800171,5
-60,-292.6000061,5
-60.00009155,-271.9599915,5
-60.00003052,-251.4000549,5
-60.00006104,-230.8399811,5
-60.00006104,-210.3600464,5
-60.00003052,-189.9599915,5
-60.00009155,-169.4799805,5
-60.00012207,-149.3199463,5
-60.00009155,-128.6799622,5
-60.00009155,-108.2799606,5
-60.00009155,-87.63994598,5
-60.00009155,-67.16002655,5
-60.00006104,-46.52000046,5
-60.00006104,-25.96002579,5
-60.00009155,-5.449794769,5
-60.00009155,-3.19E-05,5
