x,y,current_height,timestamp
-99.99989319,-1.43E-06,4,1758841757
-86.99998474,-7.87E-06,4,1758841759
-66.21612549,-1.88E-05,4,1758841761
-59.99996948,0.477593899,4,1758841763
-59.99996948,18.19999504,4,1758841765
-59.99993896,39.3200264,4,1758841767
-60.00003052,60.19999695,4,1758841769
-60,80.8400116,4,1758841771
-60,101.9600677,3,1758841773
-59.99996948,123.0800323,3,1758841775
-59.99996948,143.6399689,2,1758841777
-60.00003052,195.0000153,4,1758841783
-60,215.9599915,4,1758841785
-60,236.68013,4,1758841787
-60,257.0800171,4,1758841789
-60.00003052,278.0400391,3,1758841791
-59.99993896,299.0800781,3,1758841793
-59.99996948,319.8800049,3,1758841795
-60,371.6399536,4,1758841800
-59.99996948,392.2799988,4,1758841802
-59.79852295,400.0000305,3,1758841804
-42.76010132,400.0000305,4,1758841806
-21.8800354,399.9999695,4,1758841809
-1.079986572,400.0000916,3,1758841811
19.72000122,400.0000305,3,1758841813
40.6000061,400,3,1758841815
61.56002808,400.000061,3,1758841817
100,399.7333069,4,1758841822
100,382.8399963,5,1758841824
99.99996948,362.1200256,5,1758841826
100.0000305,341.2399597,5,1758841828
99.99996948,320.6000671,5,1758841830
100.000061,269.2400513,4,1758841835
99.99993896,248.5200043,4,1758841838
99.99996948,227.7199707,5,1758841840
99.99993896,206.8400574,5,1758841842
100.000061,186.2000122,5,1758841844
99.99996948,165.4800262,5,1758841846
100,114.1200104,4,1758841851
100.0000305,93.48004913,5,1758841853
100,72.84004974,4,1758841855
99.99996948,52.2000351,5,1758841857
100.000061,31.00000572,5,1758841859
100.0000305,10.12005424,5,1758841861
99.99996948,-10.51999855,5,1758841863
100,-31.2399826,5,1758841866
100.0000305,-52.11997986,5,1758841868
99.99996948,-72.91995239,5,1758841870
100,-93.95995331,5,1758841872
100,-114.9199677,5,1758841874
100.000061,-136.0400391,5,1758841876
100,-157.3200226,5,1758841878
100.0000305,-178.1199799,4,1758841880
100.0000305,-199.0799713,5,1758841882
100,-219.8799744,5,1758841884
99.99996948,-240.4399872,5,1758841886
100.000061,-261.3200378,5,1758841889
100,-282.2800598,5,1758841891
99.99996948,-303.6400757,5,1758841893
100.000061,-324.3600159,5,1758841895
100.0000305,-345.2400513,5,1758841897
100.000061,-366.440033,5,1758841899
99.99996948,-387.2400208,5,1758841901
100.0000305,-400.0000305,5,1758841903
88.27999878,-400.0000916,5,1758841905
67.32006836,-400,4,1758841907
46.76004028,-400.000061,5,1758841909
26.12002563,-400.0001221,6,1758841912
-25.16000366,-399.9999695,5,1758841917
-45.95999146,-399.9999695,4,1758841919
-59.99581909,-400.000061,5,1758841921
-60,-389.2399597,5,1758841923
-60.00003052,-368.3599854,4,1758841925
-60.00003052,-347.480011,4,1758841927
-60.00003052,-326.6800232,5,1758841929
-60,-305.5599976,5,1758841931
-59.99990845,-284.8400269,5,1758841933
-60.00003052,-264.0400696,5,1758841935
-60.00006104,-243.4000244,5,1758841938
-60,-222.2799835,5,1758841940
-60.00003052,-201.3200684,5,1758841942
-60,-180.3600159,5,1758841944
-59.99996948,-159.6399994,5,1758841946
-60.00003052,-138.9199677,5,1758841948
-59.99996948,-117.9600296,5,1758841950
-60,-97.40002441,5,1758841952
-59.99996948,-76.43998718,5,1758841954
-59.99996948,-55.96002197,5,1758841956
-60.00006104,-35.23999405,5,1758841958
