x,y,,current_height,timestamp
-60,-14.35999107,,5,1758841960
-100.0000916,-1.86E-05,-30.50006104,4,1758843859
-87.96005249,1.38E-05,-30.50012207,4,1758843861
-67.56018066,-1.41E-05,-30.50006104,4,1758843863
-60,0.120785713,-30.50012207,4,1758843865
-60,15.87999725,-30.50006104,4,1758843867
-60,36.12004089,-30.50012207,4,1758843869
-60.00006104,56.60002136,-30.50006104,4,1758843871
-60,77.24001312,-30.50012207,4,1758843873
-59.99996948,97.56008148,-30.50006104,3,1758843875
-60.00003052,117.9600143,-30.50006104,4,1758843877
-60,138.2799377,-30.5,3,1758843879
-60.00003052,158.6800232,-30.50012207,3,1758843881
-59.99996948,179.3200531,-30.50006104,3,1758843883
-60,199.720047,-30.50006104,2,1758843885
-60.00003052,220.1999664,-30.50006104,2,1758843887
-60,240.52005,-30.50006104,2,1758843889
-60,260.7600098,-30.50012207,2,1758843891
-60.00003052,281.4000244,-30.50012207,1,1758843893
-60.00003052,301.8800659,-30.50006104,1,1758843896
-60,322.5199585,-30.5,1,1758843898
-60.00003052,342.8400574,-30.50012207,1,1758843900
-60,363.4000244,-30.50006104,0,1758843902
-59.99996948,383.7200317,-30.5,0,1758843904
-60.00003052,403.960022,-30.50006104,0,1758843906
-60.00003052,424.2800293,-30.50006104,0,1758843908
-60,444.8400269,-30.50006104,0,1758843910
-60.00003052,465.0800171,-30.50006104,0,1758843912
-60.00003052,485.6400757,-30.50006104,0,1758843914
-60.00009155,499.9859619,-30.50006104,0,1758843916
-50.11999512,500.0000916,-30.50006104,0,1758843918
-29.72003174,500.000061,-30.50006104,0,1758843920
-9.320037842,500.000061,-30.50006104,0,1758843922
11.31991577,500.000061,-30.50006104,0,1758843924
31.72000122,500.0000916,-30.5,0,1758843926
52.20001221,500.000061,-30.50006104,0,1758843928
72.52005005,500.0000916,-30.50006104,0,1758843930
93.07666016,500.0000305,-30.50012207,1,1758843932
100,499.8422852,-30.50012207,0,1758843934
100.0000305,483.5599976,-30.50006104,0,1758843936
99.99996948,463.1599731,-30.50006104,0,1758843938
100.0000305,442.6000671,-30.50006104,1,1758843941
99.99996948,422.1200256,-30.50006104,0,1758843943
99.99996948,401.5600586,-30.50006104,0,1758843945
100,381.1600647,-30.5,1,1758843947
99.99996948,360.7600403,-30.50018311,0,1758843949
99.99996948,340.2799988,-30.50012207,1,1758843951
100,319.8800964,-30.50012207,0,1758843953
100.000061,299.480072,-30.50012207,1,1758843955
99.99996948,279.0000916,-30.50012207,1,1758843957
100,258.5200195,-30.50018311,1,1758843959
100,237.960022,-30.50012207,1,1758843961
99.99996948,217.3199921,-30.50006104,1,1758843963
100,196.9199829,-30.5,1,1758843965
99.99996948,176.5199738,-30.50006104,1,1758843967
100,156.0400543,-30.5,1,1758843969
99.99993896,135.480011,-30.50012207,2,1758843971
100.000061,115.2400589,-30.50012207,2,1758843973
99.99993896,94.92001343,-30.50012207,2,1758843975
100,74.44004059,-30.50012207,3,1758843977
100.0000305,53.88002014,-30.50006104,3,1758843979
100,33.32001114,-30.50012207,3,1758843981
100.0000305,12.76003647,-30.50012207,3,1758843984
100.0000305,-7.639970303,-30.50012207,3,1758843986
100,-27.95999336,-30.50012207,3,1758843988
100,-48.59996796,-30.50006104,3,1758843990
99.99996948,-68.8400116,-30.50006104,3,1758843992
100.000061,-89.31999969,-30.50012207,2,1758843994
100,-109.559967,-30.50012207,3,1758843996
100.0000305,-130.1999969,-30.50012207,3,1758843998
100.0000305,-150.7600098,-30.50018311,2,1758844000
99.99996948,-171.0000153,-30.50018311,2,1758844002
100,-191.6400299,-30.50006104,3,1758844004
