x,y,z,current_height,timestamp
-60.00015259,0.614716768,-20.00036621,4,1758845269
-60.00006104,18.75997925,-20.00036621,4,1758845271
-60.00006104,39.47998428,-20.00036621,4,1758845273
-60,60.36001968,-20.00036621,4,1758845275
-60.00003052,81.15996552,-20.00042725,4,1758845277
-60.00006104,102.0399628,-20.00036621,4,1758845279
-60.00006104,122.7599411,-20.00036621,4,1758845281
-59.99996948,143.559967,-20.00036621,3,1758845283
-60,164.1199493,-20.00036621,3,1758845285
-60.00003052,184.6798553,-20.00042725,3,1758845287
-60,205.2399445,-20.00036621,3,1758845289
-60.00003052,225.960022,-20.00030518,2,1758845292
-60,276.6799927,-20.00042725,4,1758845297
-60,297.3999939,-20.00024414,4,1758845299
-59.99996948,318.6000061,-20.00036621,4,1758845301
-60,339.3999329,-20.00036621,3,1758845303
-60.00003052,360.2800293,-20.00024414,3,1758845305
-60,381.1600342,-20.00030518,2,1758845307
-60,432.6799622,-20.00036621,4,1758845312
-60.00003052,453.3200073,-20.00030518,3,1758845314
-60.00003052,473.9600525,-20.00024414,3,1758845316
-60,494.5502625,-20.00024414,3,1758845318
-59.43334961,500.000061,-20.00030518,3,1758845321
-41.3999939,499.9999695,-20.00030518,3,1758845323
10.27999878,500.0000305,-20.00030518,4,1758845328
31.2399292,500,-20.00024414,4,1758845330
52.20001221,499.999939,-20.00018311,4,1758845332
73.07989502,500.000061,-20.00024414,4,1758845334
93.78375244,499.9999695,-20.00030518,3,1758845336
99.99996948,499.5223389,-20.00030518,3,1758845338
99.99987793,481.5600281,-20.00024414,3,1758845340
99.99993896,460.5999756,-20.00024414,4,1758845342
100,439.4000549,-20.00024414,5,1758845344
100,418.4400024,-20.00030518,5,1758845347
100.0000305,397.3999939,-20.00030518,5,1758845349
99.99993896,345.3200378,-20.00030518,4,1758845354
100,324.3600464,-20.00036621,4,1758845356
99.99996948,303.6399231,-20.00036621,5,1758845358
100.0000305,282.6800232,-20.00036621,5,1758845360
100.000061,261.8000183,-20.00042725,5,1758845362
100.0000305,241.1600342,-20.00036621,5,1758845364
99.99993896,189.4799957,-20.00030518,4,1758845369
99.99996948,168.2799683,-20.00036621,4,1758845372
100.000061,147.8000183,-20.00042725,4,1758845374
100.000061,127.0000381,-20.00036621,4,1758845376
100.0000305,106.1999969,-20.00042725,5,1758845378
99.99996948,85.56002045,-20.00042725,5,1758845380
99.99996948,64.68002319,-20.00048828,5,1758845382
99.99990845,43.63998032,-20.00048828,5,1758845384
100,23.23997879,-20.00042725,5,1758845386
100,2.359980583,-20.00042725,5,1758845388
99.99993896,-18.52000046,-20.00042725,5,1758845390
99.99993896,-39.56001282,-20.00036621,5,1758845392
99.99996948,-60.68001556,-20.00036621,5,1758845394
99.99993896,-112.280014,-20.00042725,3,1758845400
99.99990845,-132.8400116,-20.00042725,4,1758845402
99.99993896,-153.480011,-20.00042725,4,1758845404
99.99996948,-174.1999969,-20.00042725,4,1758845406
99.99993896,-194.9199982,-20.00042725,4,1758845408
99.99996948,-216.1200104,-20.00036621,4,1758845410
100,-237.0799866,-20.00036621,4,1758845412
99.99993896,-257.8799133,-20.00036621,4,1758845414
99.99993896,-278.6799927,-20.00036621,4,1758845416
100.0000305,-299.7200317,-20.00030518,4,1758845418
99.99990845,-320.5200195,-20.00036621,4,1758845420
100,-341.4000549,-20.00024414,4,1758845423
99.99996948,-362.2799988,-20.00030518,4,1758845425
99.99996948,-383.1600647,-20.00036621,4,1758845427
99.99996948,-404.039978,-20.00042725,4,1758845429
99.99996948,-425.1599426,-20.00036621,4,1758845431
100,-446.039978,-20.00036621,4,1758845433
99.99996948,-466.6800537,-20.00030518,4,1758845435
99.99996948,-487.0799866,-20.00030518,4,1758845437
99.99987793,-500.0000305,-20.00030518,3,1758845439
88.03991699,-500.0000305,-20.00030518,4,1758845441
67.63989258,-499.9998474,-20.00030518,3,1758845443
46.6000061,-499.999939,-20.00030518,4,1758845445
25.71994019,-499.999939,-20.00030518,4,1758845448
5.079925537,-499.9999695,-20.00024414,5,1758845450
-15.72006226,-499.9999695,-20.00024414,5,1758845452
-36.52008057,-500,-20.00024414,5,1758845454
-60.00003052,-488.8399963,-20.00030518,3,1758845459
-60,-467.8000183,-20.00030518,3,1758845461
-60.00006104,-446.9200134,-20.00024414,4,1758845463
-60.00003052,-426.1999817,-20.00030518,4,1758845465
-60.00003052,-405.4799805,-20.00036621,4,1758845467
-60.00006104,-384.440033,-20.00042725,3,1758845469
-60.00003052,-363.3200073,-20.00030518,3,1758845471
-59.99996948,-342.6000061,-20.00036621,3,1758845474
-60.00003052,-321.5599976,-20.00042725,3,1758845476
-60.00006104,-300.7600403,-20.00036621,4,1758845478
-60.00012207,-279.8799744,-20.00042725,3,1758845480
-60.00009155,-258.9200134,-20.00036621,3,1758845482
-60.00006104,-237.8000336,-20.00036621,4,1758845484
-60.00006104,-216.9200439,-20.00030518,3,1758845486
-60,-195.7999573,-20.00036621,3,1758845488
-60.00003052,-174.9200287,-20.00030518,3,1758845490
-60.00006104,-154.0399933,-20.00036621,4,1758845492
-60.00009155,-133.2400055,-20.00042725,3,1758845494
-60.00006104,-112.6000214,-20.00036621,3,1758845497
-60.00006104,-91.72000122,-20.00042725,3,1758845499
-60.00006104,-70.75998688,-20.00048828,3,1758845501
-60.00003052,-49.63998795,-20.00042725,3,1758845503
-60.00006104,-28.92001343,-20.00036621,3,1758845505
-60.00006104,-8.280016899,-20.00036621,3,1758845507
-60.00009155,8.11E-06,-20.00030518,4,1758845509
,,,5,
,,,2,
